pdbId	structure	stoichiometry	symmetry
4AAY	bio	A2B2	C2
4AAZ	bio	A	C1
5AA7	bio	A	C1
5AAD	bio	A	C1
5AAE	bio	A	C1
5AAF	bio	A	C1
5AAG	bio	A	C1
5AAM	bio	AC	C1
5AAU	bio	A2	C2
5AAV	bio	AB	C1
1AB0	bio	A	C1
1AB1	bio	A	C1
1AB4	bio	A2	C2
1AB5	bio	A	C1
1AB6	bio	A	C1
1AB8	bio	A2	C2
1AB9	bio	A2	C2
1ABA	bio	A	C1
1ABB	bio	A2	C2
1ABE	bio	A	C1
1ABF	bio	A	C1
1ABI	bio	LHI	C1
1ABJ	bio	LH	C1
1ABO	bio	A	C1
1ABQ	bio	A	C1
1ABR	bio	AB	C1
1ABS	bio	A	C1
1ABW	bio	A	C1
1ABY	bio	A	C1
2AB0	bio	A2	C2
2AB1	bio	A	C1
2AB2	bio	A2	C2
2AB4	bio	BA	C1
2AB5	bio	A	C1
2AB6	bio	A2	C2
2AB8	bio	A	C1
2ABA	bio	A	C1
2ABB	bio	A	C1
2ABE	bio	A	C1
2ABH	bio	A	C1
2ABI	bio	A	C1
2ABJ	bio	A2	C2
2ABK	bio	A	C1
2ABL	bio	A	C1
2ABM	bio	A4	C4
2ABQ	bio	A2	C2
2ABR	bio	A4	D2
2ABS	bio	A	C1
2ABW	bio	A	C1
2ABX	bio	A	C1
2ABZ	bio	A2	C2
3AB0	bio	A3B3C3	C3
3AB1	bio	A2	C2
3AB2	bio	A2B2	C2
3AB3	bio	AB	C1
3AB4	bio	A2B2	C2
3AB5	bio	A	C1
3AB6	bio	A	C1
3AB7	bio	A	C1
3AB8	bio	A	C1
3AB9	bio	A	C1
3ABA	bio	A	C1
3ABB	bio	A	C1
3ABD	bio	AX	C1
3ABE	bio	CZ	C1
3ABF	bio	A6	D3
3ABG	bio	A	C1
3ABH	bio	A2	C2
3ABI	bio	A2	C2
3ABK	bio	A2	C2
3ABL	bio	A2	C2
3ABM	bio	A2	C2
3ABN	bio	A	C1
3ABO	bio	A6B6	D3
3ABQ	bio	A6B6	D3
3ABR	bio	A6B6	D3
3ABS	bio	A6B6	D3
3ABT	bio	A	C1
3ABU	bio	A	C1
3ABV	bio	ABCD	C1
3ABW	bio	A	C1
3ABX	bio	A	C1
3ABZ	bio	A2	C2
4AB0	bio	A2	C2
4AB1	bio	A6	D3
4AB4	bio	A	C1
4AB5	bio	A2	C2
4AB6	bio	A2	C2
4AB8	bio	A	C1
4AB9	bio	A	C1
4ABA	bio	A	C1
4ABB	bio	A	C1
4ABD	bio	A	C1
4ABE	bio	A	C1
4ABF	bio	A	C1
4ABG	bio	A	C1
4ABH	bio	A	C1
4ABI	bio	AB	C1
4ABJ	bio	AB	C1
4ABK	bio	A	C1
4ABL	bio	A	C1
4ABM	bio	A	C1
4ABN	bio	A	C1
4ABQ	bio	A2	C2
4ABT	bio	A2E2	C2
4ABU	bio	A2	C2
4ABV	bio	A2	C2
4ABX	bio	A	C1
4ABY	bio	A	C1
4ABZ	bio	A2	C2
1AC1	bio	A	C1
1AC4	bio	A	C1
1AC5	bio	A	C1
1AC6	bio	A	C1
1AC8	bio	A	C1
1ACB	bio	EI	C1
1ACC	bio	A	C1
1ACD	bio	A	C1
1ACF	bio	A	C1
1ACJ	bio	A2	C2
1ACL	bio	A2	C2
1ACM	bio	A6B6	D3
1ACO	bio	A	C1
1ACV	bio	A	C1
1ACX	bio	A	C1
1ACY	bio	P2	C2
2AC0	bio	E	C1
2AC1	bio	A	C1
2AC2	bio	A	C1
2AC3	bio	A2	C2
2AC4	bio	A	C1
2AC5	bio	A2	C2
2AC7	bio	A6	D3
2ACA	bio	A2	C2
2ACE	bio	A2	C2
2ACF	bio	A2	C2
2ACG	bio	A	C1
2ACH	bio	AB	C1
2ACI	bio	A4	D2
2ACJ	bio	A	C1
2ACK	bio	A2	C2
2ACL	bio	AB	C1
2ACO	bio	A2	C2
2ACP	bio	X	C1
2ACQ	bio	A	C1
2ACR	bio	A	C1
2ACS	bio	A	C1
2ACT	bio	A	C1
2ACU	bio	A	C1
2ACV	bio	A	C1
2ACW	bio	A2	C2
2ACX	bio	A	C1
2ACY	bio	A2	C2
2ACZ	bio	A2	C2
3AC0	bio	A2	C2
3AC1	bio	A	C1
3AC2	bio	A	C1
3AC3	bio	A	C1
3AC4	bio	A	C1
3AC5	bio	A	C1
3AC8	bio	A	C1
3AC9	bio	A2	C2
3ACA	bio	A2	C2
3ACB	bio	A2	C2
3ACC	bio	A2	C2
3ACD	bio	A2	C2
3ACF	bio	A	C1
3ACG	bio	A	C1
3ACH	bio	A	C1
3ACI	bio	A	C1
3ACJ	bio	A	C1
3ACK	bio	A	C1
3ACL	bio	A	C1
3ACO	bio	A2	C2
3ACP	bio	A	C1
3ACS	bio	A2	C2
3ACT	bio	A2	C2
3ACW	bio	A	C1
3ACX	bio	A	C1
3ACY	bio	A	C1
3ACZ	bio	A4	D2
4AC0	bio	A2	C2
4AC1	bio	X	C1
4AC2	bio	A2	C2
4AC3	bio	A3	C3
4AC5	bio	CHLM	C1
4AC6	bio	A2	C2
4AC7	bio	A2	C2
4AC8	bio	A2	C2
4AC9	bio	A	C1
4ACA	bio	A	C1
4ACB	bio	A	C1
4ACC	bio	A2	C2
4ACD	bio	A2	C2
4ACF	bio	A12	D6
4ACG	bio	A2	C2
4ACH	bio	A2	C2
4ACI	bio	A2	C2
4ACJ	bio	A	C1
4ACK	bio	A	C1
4ACL	bio	A	C1
4ACM	bio	A	C1
4ACO	bio	A	C1
4ACP	bio	A2	C2
4ACQ	bio	A	C1
4ACR	bio	A	C1
4ACS	bio	A2	C2
4ACT	bio	A2	C2
4ACU	bio	A	C1
4ACV	bio	A3B3	C3
4ACX	bio	A	C1
4ACY	bio	A	C1
4ACZ	bio	A	C1
5AC5	bio	A2	C2
1AD0	bio	AB	C1
1AD1	bio	A2	C2
1AD2	bio	A	C1
1AD3	bio	A2	C2
1AD4	bio	A2	C2
1AD5	bio	A	C1
1AD6	bio	A	C1
1AD8	bio	I	C1
1AD9	bio	AB	C1
1ADB	bio	A2	C2
1ADC	bio	A2	C2
1ADD	bio	A	C1
1ADE	bio	A2	C2
1ADF	bio	A2	C2
1ADG	bio	A2	C2
1ADI	bio	A2	C2
1ADJ	bio	A2	C2
1ADL	bio	A	C1
1ADO	bio	A4	D2
1ADQ	bio	A2L2H2	C2
1ADS	bio	A	C1
1ADU	bio	A	C1
1ADV	bio	A	C1
1ADW	bio	A	C1
1ADY	bio	A2	C2
2AD1	bio	A2	C2
2AD5	bio	A4	D2
2AD6	bio	A2B2	C2
2AD7	bio	A2B2	C2
2AD8	bio	A2B2	C2
2ADA	bio	A	C1
2ADD	bio	A	C1
2ADE	bio	A	C1
2ADG	bio	AB	C1
2ADI	bio	AB	C1
2ADJ	bio	AB	C1
2ADM	bio	A	C1
2ADO	bio	A	C1
2ADP	bio	A2	C2
2ADQ	bio	B2	C2
2ADU	bio	A2	C2
2ADV	bio	ABC	C1
2ADW	bio	A	C1
2ADY	bio	E	C1
3AD4	bio	A	C1
3AD5	bio	A	C1
3AD6	bio	A	C1
3AD7	bio	A	C1
3AD8	bio	A	C1
3AD9	bio	ABCD	C1
3ADA	bio	ABCD	C1
3ADB	bio	A2C2	C2
3ADC	bio	A2C2	C2
3ADD	bio	A2C2	C2
3ADE	bio	AB	C1
3ADF	bio	A	C1
3ADG	bio	A	C1
3ADI	bio	E	C1
3ADJ	bio	A	C1
3ADK	bio	A	C1
3ADL	bio	A2	C2
3ADM	bio	A	C1
3ADO	bio	A2	C2
3ADP	bio	A2	C2
3ADR	bio	A2	C2
3ADS	bio	A	C1
3ADT	bio	A	C1
3ADU	bio	A	C1
3ADV	bio	A	C1
3ADW	bio	A	C1
3ADX	bio	A	C1
3ADY	bio	A	C1
3ADZ	bio	A	C1
4AD0	bio	A	C1
4AD1	bio	A	C1
4AD2	bio	A	C1
4AD3	bio	A	C1
4AD4	bio	A	C1
4AD5	bio	A	C1
4AD6	bio	A	C1
4AD8	bio	A2	C2
4AD9	bio	A	C1
4ADB	bio	A2	C2
4ADC	bio	A2	C2
4ADD	bio	A2	C2
4ADE	bio	A2	C2
4ADG	bio	A	C1
4ADI	bio	A	C1
4ADL	bio	A4	D2
4ADM	bio	A4	D2
4ADN	bio	A2	C2
4ADO	bio	A2	C2
4ADQ	bio	A2E2	C2
4ADS	bio	A6G6	C6
4ADT	bio	A6	C6
4ADU	bio	A6	C6
4ADW	bio	A2	C2
4ADY	bio	A	C1
4ADZ	bio	A4	D2
1AE1	bio	A4	D2
1AE2	bio	A2	C2
1AE3	bio	A2	C2
1AE5	bio	A	C1
1AE6	bio	LH	C1
1AE7	bio	A	C1
1AE8	bio	I	C1
1AE9	bio	A	C1
1AEB	bio	A	C1
1AEC	bio	A	C1
1AED	bio	A	C1
1AEE	bio	A	C1
1AEF	bio	A	C1
1AEG	bio	A	C1
1AEH	bio	A	C1
1AEI	bio	A3	C3
1AEJ	bio	A	C1
1AEK	bio	A	C1
1AEM	bio	A	C1
1AEN	bio	A	C1
1AEO	bio	A	C1
1AEP	bio	A	C1
1AEQ	bio	A	C1
1AER	bio	A	C1
1AES	bio	A	C1
1AET	bio	A	C1
1AEU	bio	A	C1
1AEV	bio	A	C1
1AEW	bio	A24	O
1AEX	bio	A	C1
2AE0	bio	X	C1
2AE1	bio	A4	D2
2AE2	bio	A4	D2
2AE3	bio	AB	C1
2AE4	bio	AB	C1
2AE5	bio	AB	C1
2AE6	bio	A2	C2
2AE7	bio	A3	C3
2AE8	bio	A24	O
2AEB	bio	A3	C3
2AEC	bio	A3	C3
2AEE	bio	A2	C2
2AEF	bio	A2	C2
2AEG	bio	A	C1
2AEH	bio	A	C1
2AEI	bio	LHT	C1
2AEJ	bio	A2	C2
2AEK	bio	A2	C2
2AEL	bio	A2	C2
2AEM	bio	A2	C2
2AEN	bio	A	C1
2AEO	bio	A2	C2
2AEP	bio	A4H4L4	C4
2AEQ	bio	A4L4H4	C4
2AER	bio	T	C1
2AES	bio	A3	C3
2AET	bio	A2	C2
2AEU	bio	A2	C2
2AEV	bio	A2	C2
2AEW	bio	A	C1
2AEX	bio	A2	C2
2AEY	bio	A	C1
2AEZ	bio	A	C1
3AE0	bio	A	C1
3AE1	bio	ABCD	C1
3AE2	bio	ABCD	C1
3AE3	bio	ABCD	C1
3AE4	bio	D	C1
3AE5	bio	ABCD	C1
3AE6	bio	ABCD	C1
3AE7	bio	D	C1
3AE8	bio	ABCD	C1
3AE9	bio	ABCD	C1
3AEA	bio	ABCD	C1
3AEB	bio	ABCD	C1
3AEC	bio	ABCD	C1
3AED	bio	ABCD	C1
3AEE	bio	ABCD	C1
3AEF	bio	ABCD	C1
3AEG	bio	ABCD	C1
3AEH	bio	A	C1
3AEI	bio	A	C1
3AEJ	bio	A	C1
3AEK	bio	A2B2	C2
3AEL	bio	A4	D2
3AEM	bio	A	C1
3AEN	bio	A2B2	C2
3AEO	bio	A4	D2
3AEP	bio	A4	D2
3AEQ	bio	A2B2	C2
3AER	bio	A2B2	C2
3AES	bio	A2B2	C2
3AET	bio	A2B2	C2
3AEU	bio	A2B2	C2
3AEV	bio	C	C1
3AEX	bio	A2	C2
3AEY	bio	A2	C2
3AEZ	bio	A2	C2
4AE0	bio	A2	C2
4AE1	bio	A2	C2
4AE4	bio	A	C1
4AE5	bio	A	C1
4AE6	bio	A	C1
4AE7	bio	A2	C2
4AE8	bio	A2	C2
4AE9	bio	A	C1
4AEA	bio	A2	C2
4AEC	bio	A2	C2
4AED	bio	ABCD	C1
4AEE	bio	A2	C2
4AEF	bio	A	C1
4AEH	bio	HL	C1
4AEK	bio	A	C1
4AEL	bio	A	C1
4AEM	bio	A	C1
4AEO	bio	A	C1
4AEQ	bio	A2	C2
4AEY	bio	A	C1
4AEZ	bio	ABC	C1
5AE3	bio	A2	C2
5AE8	bio	A	C1
5AEP	bio	A	C1
5AEQ	bio	A	C1
5AER	bio	A	C1
1AF0	bio	A	C1
1AF2	bio	A2	C2
1AF3	bio	A	C1
1AF4	bio	A	C1
1AF5	bio	A2	C2
1AF6	bio	A3	C3
1AF7	bio	A	C1
1AF9	bio	A	C1
1AFA	bio	13	C3
1AFB	bio	13	C3
1AFC	bio	A	C1
1AFD	bio	13	C3
1AFE	bio	I	C1
1AFK	bio	A	C1
1AFL	bio	A	C1
1AFQ	bio	ABC	C1
1AFR	bio	A2	C2
1AFS	bio	A2	C2
1AFU	bio	A	C1
1AFW	bio	A2	C2
2AF0	bio	A	C1
2AF1	bio	A	C1
2AF3	bio	C2	C2
2AF4	bio	C2	C2
2AF5	bio	A	C1
2AF6	bio	A4	D2
2AF7	bio	A2	C2
2AF9	bio	A	C1
2AFA	bio	A3	C3
2AFB	bio	A6	D3
2AFC	bio	A	C1
2AFG	bio	A	C1
2AFH	bio	A2B2	C2
2AFI	bio	A2B2	C2
2AFM	bio	A2	C2
2AFN	bio	A3	C3
2AFO	bio	A2	C2
2AFQ	bio	A2B2	C2
2AFR	bio	A2	C2
2AFS	bio	A2	C2
2AFT	bio	X	C1
2AFU	bio	A2	C2
2AFV	bio	A2	C2
1SMT	bio	A2	C2
2GS2	bio	A	C1
2TRX	bio	A	C1
3HBX	bio	A6	D3
4NWP	bio	A12E12	T
